GTSRCE R2   LATLON  35.700  51.900 0.000 0.000
GTSRCE R9   LATLON  36.100  51.700 0.000 0.000
GTSRCE R15  LATLON  36.300  52.100 0.000 0.000
GTSRCE R4   LATLON  35.700  52.300 0.000 0.000
GTSRCE R14  LATLON  36.300  51.900 0.000 0.000
GTSRCE R11  LATLON  36.100  52.100 0.000 0.000
GTSRCE R3   LATLON  35.700  52.100 0.000 0.000
GTSRCE R10  LATLON  36.100  51.900 0.000 0.000
GTSRCE R16  LATLON  36.300  52.300 0.000 0.000
GTSRCE R7   LATLON  35.900  52.100 0.000 0.000
GTSRCE R12  LATLON  36.100  52.300 0.000 0.000
GTSRCE R13  LATLON  36.300  51.700 0.000 0.000
GTSRCE R6   LATLON  35.900  51.900 0.000 0.000
GTSRCE R8   LATLON  35.900  52.300 0.000 0.000
GTSRCE R1   LATLON  35.700  51.700 0.000 0.000
GTSRCE R5   LATLON  35.900  51.700 0.000 0.000
